date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:44	617935/617935	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:43%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/tudestacirl-d-elm-yuesleoned-y	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/tudestacirl-d-elm-yuesleoned-y.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:44	612857/612857	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:43%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/tudestacirld-lavnutlart	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/tudestacirld-lavnutlart.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:44	617166/617166	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:44%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/xelken-alesd-la-acirlon	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/xelken-alesd-la-acirlon.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:45	613330/613330	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:44%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/xinid-cyfoi	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/xinid-cyfoi.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:46	624985/624985	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:45%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/xolerssen-sniror	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/xolerssen-sniror.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:46	620352/620352	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:45%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/xturgad-la-nukucol	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/xturgad-la-nukucol.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:47	619542/619542	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:46%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/%e6%88%91%e3%81%8c%e3%82%ab%e3%82%b6%e3%83%95%e3%82%b9%e3%82%bf%e3%83%b3	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/%e6%88%91%e3%81%8c%e3%82%ab%e3%82%b6%e3%83%95%e3%82%b9%e3%82%bf%e3%83%b3.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:47	635573/635573	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:46%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/krandiulja%e6%96%87%e8%8a%b8%e4%bd%9c%e5%93%81%e7%ad%89	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/krandiulja%e6%96%87%e8%8a%b8%e4%bd%9c%e5%93%81%e7%ad%89.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:47	64136/64136	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2004%20Jun%202021%2016:33:47%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/krandiulja%e6%96%87%e8%8a%b8%e4%bd%9c%e5%93%81%e7%ad%89/aiar-sopit	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/krandiulja%e6%96%87%e8%8a%b8%e4%bd%9c%e5%93%81%e7%ad%89/aiar-sopit.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:48	617543/617543	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:47%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/krandiulja%e6%96%87%e8%8a%b8%e4%bd%9c%e5%93%81%e7%ad%89/alsekolard-la-lkurf	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/krandiulja%e6%96%87%e8%8a%b8%e4%bd%9c%e5%93%81%e7%ad%89/alsekolard-la-lkurf.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
